Player,TEAM,AGE,RESTRICTED AREA FGM,RESTRICTED AREA FGA,RESTRICTED AREA FG%,IN THE PAINT (NON-RA) FGM,IN THE PAINT (NON-RA) FGA,IN THE PAINT (NON-RA) FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG%
Bruno Caboclo,TOR,21,0.3,0.6,40,0,0.3,0,0.3,0.4,66.7,0,0.6,0,0,0,0,0.3,0.4,66.7
Cory Joseph,TOR,25,1.4,2.4,57.3,0.8,1.8,42.9,1,2.4,41.8,0.1,0.3,25.9,0.1,0.2,53.3,0.4,1.2,35.5
DeMar DeRozan,TOR,27,2.6,4,65.7,2.5,5.1,49.2,4.2,10.1,41.2,0.1,0.5,31.3,0.1,0.2,55.6,0.2,1,18.3
DeMarre Carroll,TOR,30,1,1.6,61.6,0.3,0.9,33.9,0.3,0.8,37.5,0.3,0.7,38.3,0.3,0.9,39,0.9,2.9,32.2
Delon Wright,TOR,25,1.1,2,55.6,0.3,0.7,40,0,0.4,8.3,0,0.2,20,0,0.1,50,0.3,0.9,34.8
Fred VanVleet,TOR,23,0.6,1.4,44.4,0,0.7,0,0.3,0.5,50,0.2,0.2,100,0.1,0.3,40,0.2,0.6,26.3
Jakob Poeltl,TOR,21,1.1,1.8,61.9,0.1,0.2,41.7,0,0.1,33.3,0,0,0,0,0,0,0,0,0
Jared Sullinger,TOR,25,0.6,1.2,53.8,0.2,0.8,22.2,0.3,0.6,42.9,0,0,0,0.2,0.2,100,0.2,1.5,11.8
Jonas Valanciunas,TOR,25,2.8,4.5,62.8,1.2,2.2,54.3,0.9,2.1,41.8,0,0,0,0,0,0,0,0,100
Kyle Lowry,TOR,31,2.3,3.7,61.1,0.9,2.1,43.3,0.7,1.7,42.2,0.1,0.3,40,0.1,0.5,25,3,7.1,42.5
Lucas Nogueira,TOR,24,1.8,2.4,74,0,0.1,14.3,0,0.1,33.3,0,0,0,0,0,100,0,0.1,25
Norman Powell,TOR,24,1.8,3.1,59.1,0.1,0.5,26.8,0.3,0.8,36.8,0.3,0.7,36,0.2,0.5,32.3,0.4,1.2,30.8
PJ Tucker,TOR,32,0.7,1.5,44.4,0.3,0.8,36.8,0.2,0.5,38.5,0.6,1.2,50,0.3,0.8,38.9,0.1,0.6,21.4
Pascal Siakam,TOR,23,1.1,1.9,57.5,0.4,0.8,51.2,0.4,0.9,39.2,0,0.1,0,0,0.1,0,0,0,50
Patrick Patterson,TOR,28,0.5,0.9,53.3,0.2,0.5,39.4,0.2,0.6,39.5,0.3,1,33.3,0.3,0.6,54.1,0.8,2.3,34.2
Serge Ibaka,TOR,27,1,1.5,70.6,0.8,2.3,35.2,1.9,3.8,50,0,0.1,0,0,0.1,0,1.8,4.3,41.8
Terrence Ross,ORL,26,0.7,1.1,67.2,0.5,1.1,49.2,0.9,1.9,44.8,0.3,0.8,40.5,0.2,0.4,36.4,1.3,3.5,37.2
